gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstrand	fpkm_unstrand	fpkm_uq_unstrand
ENSG00000000003.15	TSPAN6	protein_coding	3018	1542	1476	33.1976	11.7029	13.1657
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0	0	0
ENSG00000000419.13	DPM1	protein_coding	2817	1435	1382	116.45	41.0512	46.1824
ENSG00000000457.14	SCYL3	protein_coding	591	672	658	4.2842	1.5103	1.6991
ENSG00000000938.13	FGR	protein_coding	231	109	123	3.408	1.2014	1.3516
ENSG00000000971.16	CFH	protein_coding	1495	772	723	9.3476	3.2952	3.7071
ENSG00000001036.14	FUCA2	protein_coding	2554	1890	1923	45.1569	15.9188	17.9086
ENSG00000001084.13	GCLC	protein_coding	918	532	540	5.3149	1.8736	2.1078
ENSG00000001167.14	NFYA	protein_coding	2623	1440	1446	34.3415	12.1061	13.6193
ENSG00000001460.18	STPG1	protein_coding	797	427	458	4.6724	1.6471	1.853
ENSG00000001461.17	NIPAL3	protein_coding	3581	1827	1842	19.0161	6.7036	7.5415
ENSG00000001497.18	LAS1L	protein_coding	5139	2538	2620	20.4231	7.1996	8.0995
ENSG00000001561.7	ENPP4	protein_coding	677	341	336	7.2737	2.5641	2.8847
ENSG00000001617.12	SEMA3F	protein_coding	2486	1302	1187	25.7024	9.0607	10.1932
ENSG00000001626.16	CFTR	protein_coding	29	16	18	0.1455	0.0513	0.0577
ENSG00000001629.10	ANKIB1	protein_coding	4439	2247	2204	29.975	10.5669	11.8877
ENSG00000001630.17	CYP51A1	protein_coding	101	49	52	1.428	0.5034	0.5663
ENSG00000001631.16	KRIT1	protein_coding	379	187	198	3.0481	1.0745	1.2088
ENSG00000002016.18	RAD52	protein_coding	272	134	138	3.0139	1.0625	1.1953
ENSG00000002330.14	BAD	protein_coding	456	971	989	13.321	4.696	5.2829
ENSG00000002549.12	LAP3	protein_coding	4805	2390	2416	63.3414	22.3292	25.1203
ENSG00000002586.20	CD99	protein_coding	13414	6381	7034	137.772	48.5677	54.6384
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0	0	0
ENSG00000002587.10	HS3ST1	protein_coding	230	111	121	1.5435	0.5441	0.6121
ENSG00000002726.21	AOC1	protein_coding	2	2	0	0.0264	0.0093	0.0105
ENSG00000002745.13	WNT16	protein_coding	3	1	2	0.0459	0.0162	0.0182
ENSG00000002746.15	HECW1	protein_coding	25	13	13	0.0895	0.0316	0.0355
ENSG00000002822.15	MAD1L1	protein_coding	33	13	20	0.2277	0.0803	0.0903
ENSG00000002834.18	LASP1	protein_coding	12251	7484	7337	86.5696	30.5177	34.3322
ENSG00000002919.15	SNX11	protein_coding	1012	513	500	12.2173	4.3069	4.8452
