gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstrand	fpkm_unstrand	fpkm_uq_unstrand
ENSG00000000003.15	TSPAN6	protein_coding	3573	1802	1771	34.083	12.8007	16.2268
ENSG00000000005.6	TNMD	protein_coding	770	394	376	22.5726	8.4777	10.7468
ENSG00000000419.13	DPM1	protein_coding	1607	802	805	57.6085	21.6363	27.4272
ENSG00000000457.14	SCYL3	protein_coding	1040	784	708	6.5378	2.4554	3.1126
ENSG00000000938.13	FGR	protein_coding	573	274	299	7.3309	2.7533	3.4902
ENSG00000000971.16	CFH	protein_coding	13487	6706	6781	73.1292	27.4655	34.8166
ENSG00000001036.14	FUCA2	protein_coding	2373	1903	1904	36.3847	13.6652	17.3226
ENSG00000001084.13	GCLC	protein_coding	3212	1924	1916	16.1268	6.0568	7.6779
ENSG00000001167.14	NFYA	protein_coding	1397	789	763	15.8612	5.9571	7.5515
ENSG00000001460.18	STPG1	protein_coding	587	303	324	2.9843	1.1208	1.4208
ENSG00000001461.17	NIPAL3	protein_coding	2158	1095	1103	9.9377	3.7324	4.7313
ENSG00000001497.18	LAS1L	protein_coding	2057	1007	1053	7.0892	2.6625	3.3751
ENSG00000001561.7	ENPP4	protein_coding	2596	1287	1309	24.1875	9.0842	11.5156
ENSG00000001617.12	SEMA3F	protein_coding	2047	1022	1028	18.3531	6.8929	8.7378
ENSG00000001626.16	CFTR	protein_coding	26	12	15	0.1132	0.0425	0.0539
ENSG00000001629.10	ANKIB1	protein_coding	4251	2137	2119	24.8934	9.3493	11.8517
ENSG00000001630.17	CYP51A1	protein_coding	46	29	18	0.564	0.2118	0.2685
ENSG00000001631.16	KRIT1	protein_coding	330	186	149	2.3015	0.8644	1.0958
ENSG00000002016.18	RAD52	protein_coding	442	235	210	4.2472	1.5951	2.0221
ENSG00000002330.14	BAD	protein_coding	361	877	838	9.1453	3.4347	4.354
ENSG00000002549.12	LAP3	protein_coding	6444	3227	3218	73.6661	27.6671	35.0722
ENSG00000002586.20	CD99	protein_coding	16402	7402	9000	146.089	54.8673	69.5525
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0	0	0
ENSG00000002587.10	HS3ST1	protein_coding	263	145	118	1.5306	0.5748	0.7287
ENSG00000002726.21	AOC1	protein_coding	19	4	15	0.2171	0.0816	0.1034
ENSG00000002745.13	WNT16	protein_coding	3	2	2	0.0398	0.0149	0.0189
ENSG00000002746.15	HECW1	protein_coding	21	14	10	0.0652	0.0245	0.031
ENSG00000002822.15	MAD1L1	protein_coding	15	11	5	0.0898	0.0337	0.0427
ENSG00000002834.18	LASP1	protein_coding	11856	7555	7524	72.6524	27.2864	34.5896
ENSG00000002919.15	SNX11	protein_coding	1998	1042	956	20.9174	7.8561	9.9587
ENSG00000002933.9	TMEM176A	protein_coding	2141	1031	1116	26.6434	10.0066	12.6849
ENSG00000003056.8	M6PR	protein_coding	3010	2000	1921	36.3292	13.6443	17.2962
ENSG00000003096.14	KLHL13	protein_coding	986	502	484	6.1096	2.2946	2.9088
ENSG00000003137.8	CYP26B1	protein_coding	2249	1124	1125	19.4042	7.2877	9.2383
ENSG00000003147.19	ICA1	protein_coding	1066	606	603	9.446	3.5477	4.4972
ENSG00000003249.15	DBNDD1	protein_coding	182	89	99	1.7649	0.6629	0.8403
ENSG00000003393.15	ALS2	protein_coding	1634	844	790	6.7735	2.544	3.2248
ENSG00000003400.15	CASP10	protein_coding	1372	707	665	7.8308	2.941	3.7282
ENSG00000003402.20	CFLAR	protein_coding	11461	6489	6401	22.0609	8.2855	10.5031
ENSG00000003436.16	TFPI	protein_coding	5292	2921	2775	19.5476	7.3416	9.3065
ENSG00000003509.16	NDUFAF7	protein_coding	669	622	565	7.9285	2.9778	3.7747
ENSG00000003756.17	RBM5	protein_coding	4349	2984	2944	18.1691	6.8239	8.6503
ENSG00000003987.14	MTMR7	protein_coding	59	269	264	0.3685	0.1384	0.1754
ENSG00000003989.18	SLC7A2	protein_coding	3342	1748	1594	18.2929	6.8704	8.7092
ENSG00000004059.11	ARF5	protein_coding	2613	1334	1339	61.9519	23.2676	29.4951
ENSG00000004139.14	SARM1	protein_coding	210	1166	1183	0.8182	0.3073	0.3896
ENSG00000004142.12	POLDIP2	protein_coding	5692	3156	3279	92.2427	34.644	43.9164
ENSG00000004399.13	PLXND1	protein_coding	15380	7643	7737	69.6326	26.1523	33.1519
ENSG00000004455.17	AK2	protein_coding	6551	3411	3332	29.45	11.0607	14.021
ENSG00000004468.13	CD38	protein_coding	147	76	71	0.9276	0.3484	0.4416
ENSG00000004478.8	FKBP4	protein_coding	3374	2146	2313	28.2762	10.6198	13.4622
ENSG00000004487.17	KDM1A	protein_coding	3311	1662	1649	26.3353	9.8909	12.5382
ENSG00000004534.15	RBM6	protein_coding	4081	1999	2083	24.1925	9.0861	11.518
ENSG00000004660.15	CAMKK1	protein_coding	588	316	272	3.4229	1.2855	1.6296
ENSG00000004700.16	RECQL	protein_coding	2088	1975	1998	23.9074	8.979	11.3822
ENSG00000004766.17	VPS50	protein_coding	1640	794	846	7.4235	2.7881	3.5343
ENSG00000004776.13	HSPB6	protein_coding	5883	24318	24613	147.6521	55.4544	70.2967
ENSG00000004777.18	ARHGAP33	protein_coding	175	100	90	1.4396	0.5407	0.6854
ENSG00000004779.10	NDUFAB1	protein_coding	2489	1270	1219	69.5716	26.1293	33.1228
ENSG00000004799.8	PDK4	protein_coding	36224	17729	18495	344.9342	129.5486	164.2221
ENSG00000004809.14	SLC22A16	protein_coding	5	0	5	0.0554	0.0208	0.0264
ENSG00000004838.14	ZMYND10	protein_coding	22	13	19	0.3295	0.1238	0.1569
ENSG00000004846.16	ABCB5	protein_coding	743	388	356	3.4729	1.3043	1.6535
